"","memory-1","memory-2","memory-3","plasmablasts-1","plasmablasts-2","plasmablasts-3","plasmacells-1","plasmacells-2","plasmacells-3","preplasmablasts-1","preplasmablasts-2","preplasmablasts-3"
"A1BG",178.823069232536,501.169249778466,56.4900404454064,296.541987680233,132.324631948302,47.5576792850613,125.342773012192,168.22438722113,120.418916052204,178.714882666019,95.0935310141606,29.0371045100907
"A1CF",3.23632581730441,2.79562869876582,0.990902732979153,0,2.34501310550713,0,0,0,0,1.80954816099248,0,0.610875063123863
"A2M",0,0,0,70.618001344099,0.701524546049556,41.1106531523567,15.1765465921384,4.69389170408168,42.1068151242712,13.2728214015251,6.67666416455529,36.6339957820936
"A2ML1",22.2936921563292,25.5698081065484,70.5205807633129,5.04907621220782,1.24670621405498,0,3.23976693814762,3.39049093218239,5.8930504062308,0.968311042505431,2.33242149043167,9.18030501796996
"A3GALT2",4.34573824222004,2.51591882071573,1.95012354662405,0,0,0,0,0,1.21171089569513,0,0,0
"A4GALT",24.875298457428,5.40388928243809,0.798222424514945,4.61827298408763,2.09475453460315,1.05613635564423,0,15.6332045853022,0,60.3258923091673,69.6836715410663,46.8091724634242
"AAAS",233.338407206387,134.803654596907,360.412428681795,1440.88781965822,1352.82868626422,1537.38895079327,1791.6756547443,1531.27828830937,2190.396782198,1048.49510804383,1473.13829445883,1380.98992947108
"AACS",562.144204561437,889.244519163104,916.039800651585,1035.29908377528,1247.99792000274,1318.05733960072,1256.46574379332,1174.35505032543,1272.75274054879,929.253773764463,1145.97269011829,1098.84122784427
"AAGAB",1212.30208558348,1374.19689458075,1135.08150442797,1176.44023273598,1407.13262171639,1309.51996263861,1342.80195988689,1291.64018827603,852.309610305067,1626.90034716403,1687.15654118431,1631.78341194594
"AAK1",410.68004772373,409.057494506158,339.2226722719,1169.18651603808,2063.81171230174,1733.66463487037,1796.91516758757,2605.60785611802,1566.34076312564,462.401489926159,753.421032565971,801.584672211949
"AAMDC",44.2839349051359,78.6426604633246,68.6350707062974,61.0829031981042,95.616282735733,70.1417628458204,70.0140940294503,83.8974584830654,70.103895730574,119.526801992793,118.907122875067,112.819250259491
"AAMP",1104.57519569072,986.130342831696,618.464488980052,1390.18797321612,2076.50371409243,2290.53676900109,1968.05832089048,2075.15062048159,1343.70270978174,1359.80761632112,2012.76845473051,2345.71763394734
"AANAT",0,0,0,1.91118177720221,5.45231882855957,8.31056565816816,0.928794653431688,4.73291264479619,18.7770514911155,2.86288917533752,0.355233605049444,1.05394732712663
"AAR2",1081.29227398287,806.948317618446,795.034908388791,809.44594753647,1099.32665055588,1251.16298600507,985.917769877448,1129.94012280616,519.04429457666,827.610624836297,1310.98603972466,1321.90568454232
